,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Significance threshold,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. number of hits,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min. number of sig. unique sequences,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use MudPIT protein scoring,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ions score cut-off,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include same-set proteins,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include sub-set proteins,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include unassigned,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Require bold red,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use homology threshold,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group protein families,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show duplicate peptides,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein hits,--------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prot_hit_num,prot_family_member,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig,pep_query,pep_index,pep_rank,pep_isbold,pep_isunique,pep_exp_mz,pep_exp_mr,pep_exp_z,pep_calc_mr,pep_delta,pep_start,pep_end,pep_miss,pep_score,pep_expect,pep_res_before,pep_seq,pep_res_after,pep_var_mod,pep_var_mod_pos,pep_summed_mod_pos,pep_local_mod_pos,pep_scan_title
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,2076,14822,1,1,0,450.7673,899.52,2,899.5229,-0.0028,65,70,0,45.49,5.90E-05,R,KLPFQR,L,,,,,"2732: Sum of 2 scans. Range 8024 (rt=29.6315, f=3, i=1044) to 8027 (rt=29.6379, f=3, i=1045) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,2078,9067,1,1,0,450.768,899.5215,2,899.5229,-0.0013,65,70,0,41.57,7.00E-05,R,KLPFQR,L,,,,,"3044: Sum of 2 scans. Range 8300 (rt=29.5785, f=2, i=2443) to 8302 (rt=29.5827, f=2, i=2444) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,2079,3128,1,1,0,450.7693,899.5241,2,899.5229,0.0012,65,70,0,38.71,0.00013,R,KLPFQR,L,,,,,"3129: Sum of 2 scans. Range 8378 (rt=29.5484, f=2, i=2547) to 8379 (rt=29.5505, f=2, i=2548) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,3934,6143,1,1,0,507.2904,1012.5663,2,1012.5666,-0.0002,10,18,0,24.76,0.0092,R,KSTGGKAPR,K,Acetyl (K); Methyl KR (KR),0.700001000.0,,,"120: Sum of 2 scans. Range 1426 (rt=6.5479, f=2, i=196) to 1427 (rt=6.55003, f=2, i=197) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,3935,23639,1,1,0,507.2907,1012.5668,2,1012.5666,0.0002,10,18,0,26.32,0.0068,R,KSTGGKAPR,K,Acetyl (K); Methyl KR (KR),0.700001000.0,,,"144: Sum of 2 scans. Range 1396 (rt=6.46317, f=2, i=217) to 1397 (rt=6.4653, f=2, i=218) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_E.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,3936,168,1,1,0,507.2908,1012.5669,2,1012.5666,0.0004,10,18,0,37.7,0.00049,R,KSTGGKAPR,K,Acetyl (K); Methyl KR (KR),0.700001000.0,,,"169: Sum of 2 scans. Range 1420 (rt=6.46387, f=2, i=233) to 1422 (rt=6.46817, f=2, i=234) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4178,6208,1,1,0,514.2983,1026.5821,2,1026.5822,-0.0001,10,18,0,38.9,0.00039,R,KSTGGKAPR,K,Methyl KR (KR),0.700000000.0,,,"185: Sum of 2 scans. Range 1685 (rt=7.5789, f=2, i=279) to 1686 (rt=7.58102, f=2, i=280) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4437,437,1,1,0,521.2864,1040.5583,2,1040.5615,-0.0031,10,18,0,27.29,0.0044,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"438: Sum of 2 scans. Range 2296 (rt=10.0187, f=2, i=541) to 2297 (rt=10.0209, f=2, i=542) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4438,23874,1,1,0,521.2867,1040.5589,2,1040.5615,-0.0026,10,18,0,32.2,0.0014,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"379: Sum of 4 scans. Range 2254 (rt=10.0666, f=2, i=501) to 2269 (rt=10.1275, f=2, i=508) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_E.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4440,440,1,1,0,521.2878,1040.5611,2,1040.5615,-0.0004,10,18,0,39.03,0.00029,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"441: Sum of 2 scans. Range 2319 (rt=10.1279, f=2, i=547) to 2320 (rt=10.1301, f=2, i=548) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4441,6351,1,1,0,521.2881,1040.5616,2,1040.5615,0.0001,10,18,0,43.64,0.00013,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"328: Sum of 4 scans. Range 2273 (rt=10.0919, f=3, i=104) to 2291 (rt=10.1761, f=2, i=455) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4442,17945,1,1,0,521.2881,1040.5616,2,1040.5615,0.0002,10,18,0,40.74,0.00025,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"334: Sum of 2 scans. Range 2283 (rt=10.1579, f=2, i=454) to 2284 (rt=10.1601, f=2, i=455) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4444,12378,1,1,0,521.2882,1040.5619,2,1040.5615,0.0005,10,18,0,32.95,0.0015,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"288: Sum of 4 scans. Range 2219 (rt=10.0863, f=3, i=71) to 2238 (rt=10.1631, f=2, i=402) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4445,17943,1,1,0,521.289,1040.5634,2,1040.5615,0.0019,10,18,0,28.85,0.0038,R,KSTGGKAPR,K,2 Acetyl (K),0.100001000.0,,,"332: Sum of 2 scans. Range 2260 (rt=10.0489, f=3, i=93) to 2262 (rt=10.0532, f=3, i=94) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4463,12178,1,1,0,521.3061,1040.5977,2,1040.5979,-0.0001,10,18,0,31.73,0.0026,R,KSTGGKAPR,K,Dimethyl KR (KR),0.300000000.0,,,"88: Sum of 2 scans. Range 1315 (rt=6.19925, f=2, i=118) to 1316 (rt=6.20138, f=2, i=119) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4470,23575,1,1,0,521.3074,1040.6003,2,1040.5979,0.0025,10,18,0,45.21,0.00011,R,KSTGGKAPR,K,Dimethyl KR (KR),0.300000000.0,,,"80: Sum of 2 scans. Range 1194 (rt=5.65445, f=2, i=143) to 1197 (rt=5.66083, f=2, i=144) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_E.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4471,23619,1,1,0,521.3082,1040.6018,2,1040.5979,0.0039,10,18,0,36.4,0.00087,R,KSTGGKAPR,K,Dimethyl KR (KR),0.300000000.0,,,"124: Sum of 2 scans. Range 1320 (rt=6.15655, f=2, i=189) to 1322 (rt=6.16082, f=2, i=190) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_E.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4666,6544,1,1,0,528.2929,1054.5712,2,1054.5771,-0.006,10,18,0,27.64,0.0071,R,KSTGGKAPR,K,Acetyl (K),0.000001000.0,,,"521: Sum of 2 scans. Range 2865 (rt=12.3579, f=2, i=677) to 2866 (rt=12.36, f=2, i=678) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4668,261,1,1,0,528.294,1054.5735,2,1054.5771,-0.0037,10,18,0,34.52,0.0014,R,KSTGGKAPR,K,Formyl (S); Methyl KR (KR),0.750000000.0,,,"262: Sum of 2 scans. Range 1763 (rt=7.86113, f=2, i=354) to 1764 (rt=7.86332, f=2, i=355) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4669,12550,1,1,0,528.2944,1054.5742,2,1054.5771,-0.003,10,18,0,31.04,0.003,R,KSTGGKAPR,K,Acetyl (K),0.000001000.0,,,"460: Sum of 2 scans. Range 2805 (rt=12.388, f=2, i=607) to 2807 (rt=12.3923, f=2, i=608) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4670,12520,1,1,0,528.2951,1054.5756,2,1054.5771,-0.0016,10,18,0,52.7,2.10E-05,R,KSTGGKAPR,K,Acetyl (K),0.100000000.0,,,"430: Sum of 2 scans. Range 2677 (rt=11.8777, f=2, i=565) to 2678 (rt=11.8799, f=2, i=566) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4674,18092,1,1,0,528.2971,1054.5796,2,1054.5771,0.0025,10,18,0,28.71,0.0058,R,KSTGGKAPR,K,Acetyl (K),0.100000000.0,,,"481: Sum of 2 scans. Range 2722 (rt=11.8291, f=2, i=638) to 2723 (rt=11.8312, f=2, i=639) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4675,678,1,1,0,528.2971,1054.5797,2,1054.5771,0.0026,10,18,0,48.09,6.70E-05,R,KSTGGKAPR,K,Acetyl (K),0.000001000.0,,,"679: Sum of 4 scans. Range 2928 (rt=12.3, f=4, i=60) to 2934 (rt=12.3164, f=2, i=795) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4677,24093,1,1,0,528.2974,1054.5801,2,1054.5771,0.003,10,18,0,42.44,0.00025,R,KSTGGKAPR,K,Acetyl (K),0.000001000.0,,,"598: Sum of 2 scans. Range 2855 (rt=12.3376, f=2, i=722) to 2857 (rt=12.3418, f=2, i=723) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_E.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4678,18127,1,1,0,528.2994,1054.5842,2,1054.5771,0.0071,10,18,0,41.9,0.00028,R,KSTGGKAPR,K,Acetyl (K),0.000001000.0,,,"516: Sum of 2 scans. Range 2854 (rt=12.3426, f=2, i=684) to 2857 (rt=12.349, f=2, i=685) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4679,17815,1,1,0,528.3007,1054.5869,2,1054.5771,0.0097,10,18,0,28.8,0.0063,R,KSTGGKAPR,K,Formyl (S); Methyl KR (KR),0.750000000.0,,,"204: Sum of 2 scans. Range 1769 (rt=7.94167, f=2, i=288) to 1770 (rt=7.94382, f=2, i=289) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4941,644,1,1,0,535.2852,1068.5559,2,1068.5564,-0.0005,10,18,0,36.71,0.00065,R,KSTGGKAPR,K,Formyl (K); Formyl (S),0.450000000.0,,,"645: Sum of 2 scans. Range 2836 (rt=11.9868, f=2, i=754) to 2838 (rt=11.9911, f=2, i=755) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4953,1104,1,1,0,535.2987,1068.5829,2,1068.5928,-0.0099,10,18,0,26.32,0.0034,R,KSTGGKAPR,K,Acetyl (K); Butyryl (K),0.200001000.0,,,"1105: Sum of 2 scans. Range 3846 (rt=15.4324, f=3, i=410) to 3848 (rt=15.4367, f=3, i=411) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4901,18531,1,1,0,535.299,1068.5833,2,1068.5928,-0.0094,10,18,0,35.85,0.00043,R,KSTGGKAPR,K,Acetyl (K); Butyryl (K),0.200001000.0,,,"920: Sum of 2 scans. Range 3842 (rt=15.8351, f=2, i=1053) to 3843 (rt=15.8372, f=2, i=1054) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4959,18502,1,1,0,535.3024,1068.5903,2,1068.5928,-0.0025,10,18,0,26.57,0.0032,R,KSTGGKAPR,K,Acetyl (K); Butyryl (K),0.200001000.0,,,"891: Sum of 2 scans. Range 3740 (rt=15.4656, f=3, i=306) to 3742 (rt=15.4698, f=3, i=307) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4908,18387,1,1,0,535.3038,1068.593,2,1068.5928,0.0003,10,18,0,24.51,0.005,R,KSTGGKAPR,K,,,,,"776: Sum of 2 scans. Range 3462 (rt=14.4823, f=2, i=903) to 3463 (rt=14.4845, f=2, i=904) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4963,6799,1,1,0,535.304,1068.5934,2,1068.5928,0.0007,10,18,0,44.38,6.90E-05,R,KSTGGKAPR,K,,,,,"776: Sum of 4 scans. Range 3449 (rt=14.43, f=2, i=902) to 3470 (rt=14.5151, f=2, i=911) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4964,12727,1,1,0,535.3042,1068.5938,2,1068.5928,0.001,10,18,0,50.53,1.80E-05,R,KSTGGKAPR,K,,,,,"637: Sum of 2 scans. Range 3220 (rt=13.9242, f=2, i=758) to 3221 (rt=13.9263, f=2, i=759) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4965,17738,1,1,0,535.3044,1068.5943,2,1068.5928,0.0015,10,18,0,40.22,0.00057,R,KSTGGKAPR,K,Dimethyl KR (KR); Formyl (T),0.306000000.0,,,"127: Sum of 2 scans. Range 1428 (rt=6.53088, f=2, i=185) to 1429 (rt=6.53303, f=2, i=186) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_D.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4966,12192,1,1,0,535.3045,1068.5945,2,1068.5928,0.0017,10,18,0,43.95,0.00024,R,KSTGGKAPR,K,Dimethyl KR (KR); Formyl (S),0.350000000.0,,,"102: Scan 1400 (rt=6.55323, f=2, i=148) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_C.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4967,6144,1,1,0,535.3046,1068.5946,2,1068.5928,0.0018,10,18,0,37.92,0.00097,R,KSTGGKAPR,K,Dimethyl KR (KR); Formyl (T),0.306000000.0,,,"121: Sum of 2 scans. Range 1437 (rt=6.60095, f=2, i=198) to 1438 (rt=6.60308, f=2, i=199) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_B.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4968,952,1,1,0,535.3047,1068.5949,2,1068.5928,0.0021,10,18,0,53.81,9.00E-06,R,KSTGGKAPR,K,,,,,"953: Sum of 2 scans. Range 3535 (rt=14.3593, f=2, i=1005) to 3537 (rt=14.3635, f=2, i=1006) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_A.raw]"
1,1,H32_BOVIN,sp|P84227|H32_BOVIN Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2,16163,16163,648,648,11,11,4969,24284,1,1,0,535.3049,1068.5952,2,1068.5928,0.0024,10,18,0,22.19,0.0093,R,KSTGGKAPR,K,,,,,"789: Sum of 2 scans. Range 3296 (rt=13.9026, f=2, i=879) to 3297 (rt=13.9048, f=2, i=880) [\\fbtnas01.private.ugent.be\proteomics\RAW\SynaptG2Si\180601_GingisREX\Better\180601_PropTryp_E.raw]"
